All layers:
0 nothing


Water:
1 water [animated]


Soil:
1 plainSoil
2 threeWhiteStones
3 darkSand
4 threeDarkStones
5 whiteSand
6 twoWhiteStones
7 twoDarkStones


Grass:
1 upGrass
2 leftUpCornerWaterGrass
3 leftBottomCornerWaterGrass
4 rightUpCornerWaterGrass
5 rightBottomCornerWaterGrass
6 leftWaterGrass
7 rightWaterGrass
8 bottomWaterGrass
9 leftUpInnerWaterGrass
10 leftBottomInnerWaterGrass
11 rightUpInnerWaterGrass
12 rightBottomInnerWaterGrass
13 grassTile
14 weirdWaterGrass1
15 weirdWaterGrass2
16 weirdWaterGrass3
17 weirdWaterGrass4
18 weirdWaterGrass5
19 weirdWaterGrass6
20 weirdWaterGrass7
21 bigGrassGreen
22 smallerGrassGreen
23 smallGrassGreen
24 twoDarkRocksGrass
25 threeDarkRocksGrass
26 threeFlowersGrass
27 bigGrassLight
28 smallerGrassLight
29 smallGrassLight
30 twoLightRocksGrass
31 threeLightRocksGrass
32 twoFlowersGrass
33 grassLayerBottom
34 grassLayerLeft
35 grassLayerRight
36 grassLayerUpLeftCorner
37 grassLayerBottomLeftCorner
38 grassLayerUpRightCorner
39 grassLayerBottomRightCorner
40 grassLayerUpLeftInner
41 grassLayerBottomLeftInner
42 grassLayerUpRightInner
43 grassLayerBottomRightInner
44 weirdGrassLayer1
45 weirdGrassLayer2
46 weirdGrassLayer3
47 weirdGrassLayer4
48 weirdGrassLayer5
49 weirdGrassLayer6


Dark grass:
1 darkGrassTile
2 darkGrassUp
3 darkGrassLeft
4 darkGrassBottom
5 darkGrassRight
6 darkGrassLeftUpCorner
7 darkGrassLeftBottomCorner
8 darkGrassRightUpCorner
9 darkGrassRightBottomCorner
10 darkGrassUpLeftInner
11 darkGrassBottomLeftInner
12 darkGrassUpRightInner
13 darkGrassBottomRightInner
14 weirdDarkGrass1
15 weirdDarkGrass2
16 weirdDarkGrass3
17 weirdDarkGrass4
18 weirdDarkGrass5
19 weirdDarkGrass6
20 weirdDarkGrass7
21 weirdDarkGrass8
22 weirdDarkGrass9
23 weirdDarkGrass10
24 weirdDarkGrass11
25 weirdDarkGrass12
26 weirdDarkGrass13
27 weirdDarkGrass14
28 weirdDarkGrass15
29 weirdDarkGrass16
30 weirdDarkGrass17
31 weirdDarkGrass18
32 weirdDarkGrass19
33 weirdDarkGrass20
34 weirdDarkGrass21
35 threeDarkStonesDarkGrass
36 bigGrassDarkGrass
37 threeGrassDarkGrass
38 twoDarkStonesDarkGrass


FloorGroundDecorFences:

- water objects
1 waterStone1
2 waterStone2
3 waterStone3
4 waterStone4
5 bigWaterStone1
6 bigWaterStone2
7 threeWaterSticks
8 fourWaterSticks
9 waterLily1
10 waterLily2
11 waterLily3
12 waterLily4

- ground decor
13 stone1
14 stone2
15 stone3
16 stone4
17 stone5
18 stone6
19 grassDecor1
20 grassDecor2
21 grassDecor3
22 grassDecor4

- picnic blanket
23 picnicBlanket1
24 picnicBlanket2
25 picnicBlanket3
26 picnicBlanket4
27 picnicBlanket5
28 picnicBlanket6
29 picnicBlanket7
30 picnicBlanket8
31 picnicBlanket9

- hay
32 hay1
33 hay2

- fences + gates
34 fenceDown
35 fenceVertical
36 fenceUp
37 fenceAlone
38 fenceLeft
39 fenceHorizontal
40 fenceRight
41 fenceWeird
42 gate1
43 gate2
44 gate3
45 gate4
46 gateLeft
47 gateRight

- floor
48 floor

- paths
49 pathUp
50 pathVertical
51 pathBottom
52 pathLeft
53 pathHorizontal
54 pathRight
55 pathArc1
56 pathArc2
58 pathArc3


Nature:
1 bigTree1
2 bigTree2
3 bigTree3
4 bigTree4
5 bigTree5
6 bigTree6
7 bigTree7
8 bigTree8
9 bigTree9
10 tree1
11 tree2
12 tree3
13 tree4
14 smallTree1
15 smallTree2
16 bush


FarmStructures:
1 smallHayBale
2 bigHayBale1
4 bigHayBale2
5 box
6 twoBoxes1
7 twoBoxes2
8 twoBoxes3
9 twoBoxes4
10 waterTray1
11 waterTray2
13 waterWell1
14 waterWell2
15 waterWell3
16 waterWell4
17 workStation1
18 workStation2
19 workStation3
20 workStation4
21 coop1
22 coop2
23 coop3
24 coop4
25 coop5
26 coop6
27 coop7
28 coop8
29 coop9


House:
1 leftHouse
2 windowHouse
3 wallHouse
4 rightHouse
5 door

House Roof:
1 backLeftRoof
2 backRoof
3 backRightRoof
4 reversedLeftRoof
5 reversedRoof
6 reversedRightRoof
7 centerLeftRoof
8 centerRoof
9 centerRightRoof
10 chimneyRoof
11 leftRoof
12 roof
13 rightRoof
14 frontLeftRoof
15 frontRoof
16 frontRightRoof

Bridges:
1 leftBridge
2 bridge
3 rightBridge
4 waterLeftBridge
